Time,Process_Time [s],State,Temperature [Centigrade]
Thu Feb 16 14:43:15 2017,358,Initialization,24.0
Thu Feb 16 14:43:15 2017,359,Initialization,24.0
Thu Feb 16 14:43:15 2017,360,Initialization,24.0
Thu Feb 16 14:43:16 2017,361,Initialization,24.0
Thu Feb 16 14:43:16 2017,362,Initialization,24.0
Thu Feb 16 14:43:16 2017,363,Initialization,23.0
Thu Feb 16 14:43:16 2017,364,Initialization,24.0
Thu Feb 16 14:43:17 2017,365,Initialization,24.0
Thu Feb 16 14:43:17 2017,366,Initialization,23.0
Thu Feb 16 14:43:17 2017,367,Initialization,23.0
Thu Feb 16 14:43:17 2017,368,Initialization,24.0
Thu Feb 16 14:43:18 2017,369,Initialization,24.0
Thu Feb 16 14:43:18 2017,370,Initialization,24.0
Thu Feb 16 14:43:18 2017,371,Initialization,24.0
Thu Feb 16 14:43:18 2017,372,Initialization,24.0
Thu Feb 16 14:43:19 2017,373,Initialization,25.0
Thu Feb 16 14:43:19 2017,374,Initialization,23.0
Thu Feb 16 14:43:19 2017,375,Initialization,24.0
Thu Feb 16 14:43:19 2017,376,Initialization,24.0
Thu Feb 16 14:43:20 2017,377,Initialization,24.0
Thu Feb 16 14:43:20 2017,378,Initialization,24.0
Thu Feb 16 14:43:20 2017,379,Initialization,24.0
Thu Feb 16 14:43:20 2017,380,Initialization,24.0
Thu Feb 16 14:43:21 2017,381,Initialization,24.0
Thu Feb 16 14:43:21 2017,382,Initialization,24.0
Thu Feb 16 14:43:21 2017,383,Initialization,24.0
Thu Feb 16 14:43:21 2017,384,Initialization,23.0
Thu Feb 16 14:43:22 2017,385,Initialization,24.0
Thu Feb 16 14:43:22 2017,386,Initialization,23.0
Thu Feb 16 14:43:22 2017,387,Initialization,25.0
Thu Feb 16 14:43:22 2017,388,Initialization,24.0
Thu Feb 16 14:43:23 2017,389,Initialization,23.0
Thu Feb 16 14:43:23 2017,390,Initialization,24.0
Thu Feb 16 14:43:23 2017,391,Initialization,23.0
Thu Feb 16 14:43:23 2017,392,Initialization,24.0
Thu Feb 16 14:43:24 2017,393,Initialization,23.0
Thu Feb 16 14:43:24 2017,394,Initialization,25.0
Thu Feb 16 14:43:24 2017,395,Initialization,24.0
Thu Feb 16 14:43:24 2017,396,Initialization,24.0
Thu Feb 16 14:43:25 2017,397,Initialization,23.0
Thu Feb 16 14:43:25 2017,398,Initialization,23.0
Thu Feb 16 14:43:25 2017,399,Initialization,25.0
Thu Feb 16 14:43:25 2017,400,Initialization,23.0
Thu Feb 16 14:43:26 2017,401,Initialization,24.0
Thu Feb 16 14:43:26 2017,402,Initialization,24.0
Thu Feb 16 14:43:26 2017,403,Initialization,24.0
Thu Feb 16 14:43:26 2017,404,Initialization,24.0
Thu Feb 16 14:43:27 2017,405,Initialization,24.0
Thu Feb 16 14:43:27 2017,406,Initialization,24.0
Thu Feb 16 14:43:27 2017,407,Initialization,24.0
Thu Feb 16 14:43:27 2017,408,Initialization,25.0
Thu Feb 16 14:43:28 2017,409,Initialization,24.0
Thu Feb 16 14:43:28 2017,410,Initialization,25.0
Thu Feb 16 14:43:28 2017,411,Initialization,25.0
Thu Feb 16 14:43:28 2017,412,Initialization,23.0
Thu Feb 16 14:43:29 2017,413,Initialization,24.0
Thu Feb 16 14:43:29 2017,414,Initialization,25.0
Thu Feb 16 14:43:29 2017,415,Initialization,24.0
Thu Feb 16 14:43:29 2017,416,Initialization,24.0
Thu Feb 16 14:43:30 2017,417,Initialization,24.0
Thu Feb 16 14:43:30 2017,418,Initialization,25.0
Thu Feb 16 14:43:30 2017,419,Initialization,23.0
Thu Feb 16 14:43:30 2017,420,Initialization,25.0
Thu Feb 16 14:43:31 2017,421,Initialization,25.0
Thu Feb 16 14:43:31 2017,422,Initialization,25.0
Thu Feb 16 14:43:31 2017,423,Initialization,24.0
Thu Feb 16 14:43:31 2017,424,Initialization,25.0
Thu Feb 16 14:43:32 2017,425,Initialization,25.0
Thu Feb 16 14:43:32 2017,426,Initialization,25.0
Thu Feb 16 14:43:32 2017,427,Initialization,25.0
Thu Feb 16 14:43:32 2017,428,Initialization,25.0
Thu Feb 16 14:43:33 2017,429,Initialization,24.0
Thu Feb 16 14:43:33 2017,430,Initialization,24.0
Thu Feb 16 14:43:33 2017,431,Initialization,25.0
Thu Feb 16 14:43:33 2017,432,Initialization,25.0
Thu Feb 16 14:43:34 2017,433,Initialization,24.0
Thu Feb 16 14:43:34 2017,434,Initialization,25.0
Thu Feb 16 14:43:34 2017,435,Initialization,25.0
Thu Feb 16 14:43:34 2017,436,Initialization,24.0
Thu Feb 16 14:43:35 2017,437,Initialization,25.0
Thu Feb 16 14:43:35 2017,438,Initialization,25.0
Thu Feb 16 14:43:35 2017,439,Initialization,24.0
Thu Feb 16 14:43:35 2017,440,Initialization,25.0
Thu Feb 16 14:43:36 2017,441,Initialization,25.0
Thu Feb 16 14:43:36 2017,442,Initialization,24.0
Thu Feb 16 14:43:36 2017,443,Initialization,24.0
Thu Feb 16 14:43:36 2017,444,Initialization,25.0
Thu Feb 16 14:43:37 2017,445,Initialization,25.0
Thu Feb 16 14:43:37 2017,446,Initialization,24.0
Thu Feb 16 14:43:37 2017,447,Initialization,25.0
Thu Feb 16 14:43:37 2017,448,Initialization,25.0
Thu Feb 16 14:43:38 2017,449,Initialization,24.0
Thu Feb 16 14:43:38 2017,450,Initialization,24.0
Thu Feb 16 14:43:38 2017,451,Initialization,25.0
Thu Feb 16 14:43:38 2017,452,Initialization,25.0
Thu Feb 16 14:43:39 2017,453,Initialization,25.0
Thu Feb 16 14:43:39 2017,454,Initialization,24.0
Thu Feb 16 14:43:39 2017,455,Initialization,25.0
Thu Feb 16 14:43:39 2017,456,Initialization,25.0
Thu Feb 16 14:43:40 2017,457,Initialization,24.0
Thu Feb 16 14:43:40 2017,458,Initialization,25.0
Thu Feb 16 14:43:40 2017,459,Initialization,25.0
Thu Feb 16 14:43:40 2017,460,Initialization,25.0
Thu Feb 16 14:43:41 2017,461,Initialization,25.0
Thu Feb 16 14:43:41 2017,462,Initialization,24.0
Thu Feb 16 14:43:41 2017,463,Initialization,25.0
Thu Feb 16 14:43:41 2017,464,Initialization,25.0
Thu Feb 16 14:43:42 2017,465,Initialization,25.0
Thu Feb 16 14:43:42 2017,466,Initialization,25.0
